560.0
4/4
FullName,CommonName,Len,Offset
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,16.5
Chord {B-flat in octave 5 | F-sharp in octave 3} Zero,B-5-interval class 4,0.0,334.5
Chord {B-flat in octave 5 | F-sharp in octave 3} Zero,B-5-interval class 4,0.0,335.5
Chord {F in octave 3 | F-sharp in octave 3 | B-flat in octave 5} 16th,B-5-incomplete major-seventh chord,0.25,337.5
Chord {F-sharp in octave 3 | F in octave 3} 16th,F#3-interval class 1,0.25,338.0
Chord {F in octave 3 | F-sharp in octave 3} 16th,F3-interval class 1,0.25,338.5
Chord {F-sharp in octave 3 | B-flat in octave 5 | F in octave 3} 16th,B-5-incomplete major-seventh chord,0.25,339.5
Chord {F in octave 3 | F-sharp in octave 3} 16th,F3-interval class 1,0.25,340.0
Chord {B-flat in octave 5 | F-sharp in octave 3} Zero,B-5-interval class 4,0.0,340.5
Chord {B-flat in octave 5 | F-sharp in octave 3 | F in octave 3} Zero,B-5-incomplete major-seventh chord,0.0,341.5
Chord {F-sharp in octave 3 | F in octave 3} 16th,F#3-interval class 1,0.25,342.0
Chord {B-flat in octave 5 | F-sharp in octave 3} Zero,B-5-interval class 4,0.0,342.5
Chord {B-flat in octave 5 | F-sharp in octave 3} Zero,B-5-interval class 4,0.0,343.5
Chord {F-sharp in octave 3 | B-flat in octave 5 | F in octave 3} 16th,B-5-incomplete major-seventh chord,0.25,345.5
Chord {F-sharp in octave 3 | F in octave 3} 16th,F#3-interval class 1,0.25,346.0
Chord {B-flat in octave 5 | F-sharp in octave 3} Zero,B-5-interval class 4,0.0,346.5
Chord {F in octave 3 | F-sharp in octave 3} 16th,F3-interval class 1,0.25,346.5
Chord {F-sharp in octave 3 | B-flat in octave 5 | F in octave 3} 16th,B-5-incomplete major-seventh chord,0.25,347.5
Chord {F in octave 3 | F-sharp in octave 3} Zero,F3-interval class 1,0.0,348.0
Chord {F-sharp in octave 3 | B-flat in octave 5 | F in octave 3} 16th,B-5-incomplete major-seventh chord,0.25,349.5
Chord {F-sharp in octave 3 | F in octave 3} 16th,F#3-interval class 1,0.25,350.0
Chord {B-flat in octave 5 | F-sharp in octave 3} Zero,B-5-interval class 4,0.0,350.5
Chord {B-flat in octave 5 | F-sharp in octave 3} Zero,B-5-interval class 4,0.0,351.5
Chord {F-sharp in octave 3 | B-flat in octave 5} Zero,B-5-interval class 4,0.0,352.5
Chord {F-sharp in octave 3 | B-flat in octave 5 | F in octave 3} 16th,B-5-incomplete major-seventh chord,0.25,353.5
Chord {F-sharp in octave 3 | F in octave 3} 16th,F#3-interval class 1,0.25,354.0
Chord {F in octave 3 | F-sharp in octave 3} 16th,F3-interval class 1,0.25,354.5
Chord {B-flat in octave 5 | F in octave 3 | F-sharp in octave 3} Zero,B-5-incomplete major-seventh chord,0.0,355.5
Chord {F in octave 3 | F-sharp in octave 3} Zero,F3-interval class 1,0.0,356.0
Chord {F-sharp in octave 3 | B-flat in octave 5} Zero,B-5-interval class 4,0.0,356.5
Chord {F-sharp in octave 3 | B-flat in octave 5 | F in octave 3} 16th,B-5-incomplete major-seventh chord,0.25,357.5
Chord {F-sharp in octave 3 | F in octave 3} 16th,F#3-interval class 1,0.25,358.0
Chord {F in octave 3 | F-sharp in octave 3} 16th,F3-interval class 1,0.25,358.5
Chord {B-flat in octave 5 | F-sharp in octave 3} Zero,B-5-interval class 4,0.0,359.5
Chord {F-sharp in octave 3 | B-flat in octave 5 | F in octave 3} 16th,B-5-incomplete major-seventh chord,0.25,361.5
Chord {F-sharp in octave 3 | B-flat in octave 5 | F in octave 3} 16th,B-5-incomplete major-seventh chord,0.25,363.5
Chord {A in octave 5 | B in octave 3} 16th,B3-interval class 2,0.25,370.0
Chord {C in octave 6 | B in octave 3} 16th,C6-interval class 1,0.25,373.5
Chord {A in octave 5 | E-flat in octave 3} 16th,A5-tritone,0.25,375.5
Chord {C in octave 6 | E-flat in octave 3} 16th,C6-interval class 3,0.25,385.5
Chord {A in octave 5 | C in octave 6 | B in octave 3} 16th,A5-minor trichord,0.25,386.0
Chord {A in octave 5 | E-flat in octave 3} 16th,A5-tritone,0.25,391.5
Chord {A in octave 5 | B in octave 3} 16th,B3-interval class 2,0.25,392.0
Chord {C in octave 6 | B in octave 3} 16th,C6-interval class 1,0.25,397.5
Chord {A in octave 5 | B in octave 3} 16th,B3-interval class 2,0.25,402.0
Chord {A in octave 5 | E-flat in octave 3} 16th,A5-tritone,0.25,407.5
Chord {A in octave 5 | B in octave 3} 16th,B3-interval class 2,0.25,408.0
Chord {C in octave 6 | B in octave 3} 16th,C6-interval class 1,0.25,413.5
Chord {A in octave 5 | B in octave 3} 16th,B3-interval class 2,0.25,418.0
Chord {A in octave 5 | E-flat in octave 3} 16th,A5-tritone,0.25,423.5
Chord {A in octave 5 | B in octave 3} 16th,B3-interval class 2,0.25,424.0
Chord {B in octave 3 | C in octave 3} 16th,C3-interval class 1,0.25,430.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,435.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,439.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,443.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,447.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,451.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,455.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,459.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,463.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,467.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,471.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,475.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,479.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,483.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,487.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,491.5
Chord {F in octave 2 | B in octave 1} Eighth,B1-tritone,0.5,495.0
Chord {B in octave 1 | B-flat in octave 5 | C-sharp in octave 3} Eighth,C#3-phrygian trichord,0.5,495.5
Chord {F in octave 3 | F-sharp in octave 3 | B-flat in octave 5} 16th,B-5-incomplete major-seventh chord,0.25,497.5
Chord {F-sharp in octave 3 | F in octave 3} 16th,F#3-interval class 1,0.25,498.0
Chord {B-flat in octave 5 | F-sharp in octave 3} Zero,B-5-interval class 4,0.0,498.5
Chord {F in octave 3 | F-sharp in octave 3} 16th,F3-interval class 1,0.25,498.5
Chord {B-flat in octave 5 | F-sharp in octave 3 | F in octave 3} Zero,B-5-incomplete major-seventh chord,0.0,499.5
Chord {F in octave 3 | F-sharp in octave 3} 16th,F3-interval class 1,0.25,500.0
Chord {B-flat in octave 5 | F-sharp in octave 3} Zero,B-5-interval class 4,0.0,500.5
Chord {F in octave 3 | F-sharp in octave 3} 16th,F3-interval class 1,0.25,500.5
Chord {F in octave 3 | B-flat in octave 5 | F-sharp in octave 3} 16th,B-5-incomplete major-seventh chord,0.25,501.5
Chord {F-sharp in octave 3 | F in octave 3} 16th,F#3-interval class 1,0.25,502.0
Chord {B-flat in octave 5 | F-sharp in octave 3} Zero,B-5-interval class 4,0.0,503.5
Chord {F-sharp in octave 3 | B-flat in octave 5} Zero,B-5-interval class 4,0.0,504.5
Chord {B-flat in octave 5 | F-sharp in octave 3 | F in octave 3} Zero,B-5-incomplete major-seventh chord,0.0,505.5
Chord {F-sharp in octave 3 | F in octave 3} 16th,F#3-interval class 1,0.25,506.0
Chord {F in octave 3 | F-sharp in octave 3} 16th,F3-interval class 1,0.25,506.5
Chord {F-sharp in octave 3 | F in octave 3 | B-flat in octave 5} 16th,B-5-incomplete major-seventh chord,0.25,507.5
Chord {F in octave 3 | F-sharp in octave 3} Zero,F3-interval class 1,0.0,508.0
Chord {F-sharp in octave 3 | B-flat in octave 5 | F in octave 3} 16th,B-5-incomplete major-seventh chord,0.25,509.5
Chord {F-sharp in octave 3 | F in octave 3} 16th,F#3-interval class 1,0.25,510.0
Chord {B-flat in octave 5 | F-sharp in octave 3} Zero,B-5-interval class 4,0.0,510.5
Chord {F-sharp in octave 3 | B-flat in octave 5 | F in octave 3} 16th,B-5-incomplete major-seventh chord,0.25,511.5
Chord {B-flat in octave 5 | F-sharp in octave 3 | F in octave 3} Zero,B-5-incomplete major-seventh chord,0.0,513.5
Chord {F-sharp in octave 3 | F in octave 3} 16th,F#3-interval class 1,0.25,514.0
Chord {F in octave 3 | F-sharp in octave 3} 16th,F3-interval class 1,0.25,514.5
Chord {F-sharp in octave 3 | B-flat in octave 5 | F in octave 3} 16th,B-5-incomplete major-seventh chord,0.25,515.5
Chord {F in octave 3 | F-sharp in octave 3} Zero,F3-interval class 1,0.0,516.0
Chord {B-flat in octave 5 | F-sharp in octave 3 | F in octave 3} Zero,B-5-incomplete major-seventh chord,0.0,517.5
Chord {F-sharp in octave 3 | F in octave 3} 16th,F#3-interval class 1,0.25,518.0
Chord {F in octave 3 | F-sharp in octave 3} 16th,F3-interval class 1,0.25,518.5
Chord {F-sharp in octave 3 | B-flat in octave 5 | F in octave 3} 16th,B-5-incomplete major-seventh chord,0.25,521.5
Chord {F-sharp in octave 3 | F in octave 3 | B-flat in octave 5} 16th,B-5-incomplete major-seventh chord,0.25,523.5
Chord {B-flat in octave 5 | F in octave 3 | F-sharp in octave 3} Zero,B-5-incomplete major-seventh chord,0.0,525.5
Chord {B-flat in octave 5 | F-sharp in octave 3} Zero,B-5-interval class 4,0.0,526.5
Chord {B-flat in octave 5 | F-sharp in octave 3} Zero,B-5-interval class 4,0.0,527.5
Chord {F in octave 3 | F-sharp in octave 3 | B-flat in octave 5} 16th,B-5-incomplete major-seventh chord,0.25,529.5
Chord {F-sharp in octave 3 | F in octave 3} 16th,F#3-interval class 1,0.25,530.0
Chord {F in octave 3 | F-sharp in octave 3} 16th,F3-interval class 1,0.25,530.5
Chord {F-sharp in octave 3 | B-flat in octave 5 | F in octave 3} 16th,B-5-incomplete major-seventh chord,0.25,531.5
Chord {F in octave 3 | F-sharp in octave 3} 16th,F3-interval class 1,0.25,532.0
Chord {B-flat in octave 5 | F-sharp in octave 3} Zero,B-5-interval class 4,0.0,532.5
Chord {B-flat in octave 5 | F-sharp in octave 3 | F in octave 3} Zero,B-5-incomplete major-seventh chord,0.0,533.5
Chord {F-sharp in octave 3 | F in octave 3} 16th,F#3-interval class 1,0.25,534.0
Chord {B-flat in octave 5 | F-sharp in octave 3} Zero,B-5-interval class 4,0.0,534.5
Chord {B-flat in octave 5 | F-sharp in octave 3} Zero,B-5-interval class 4,0.0,535.5
Chord {F-sharp in octave 3 | B-flat in octave 5 | F in octave 3} 16th,B-5-incomplete major-seventh chord,0.25,537.5
Chord {F-sharp in octave 3 | F in octave 3} 16th,F#3-interval class 1,0.25,538.0
Chord {B-flat in octave 5 | F-sharp in octave 3} Zero,B-5-interval class 4,0.0,538.5
Chord {F in octave 3 | F-sharp in octave 3} 16th,F3-interval class 1,0.25,538.5
Chord {F-sharp in octave 3 | B-flat in octave 5 | F in octave 3} 16th,B-5-incomplete major-seventh chord,0.25,539.5
Chord {F in octave 3 | F-sharp in octave 3} Zero,F3-interval class 1,0.0,540.0
Chord {F-sharp in octave 3 | B-flat in octave 5 | F in octave 3} 16th,B-5-incomplete major-seventh chord,0.25,541.5
Chord {F-sharp in octave 3 | F in octave 3} 16th,F#3-interval class 1,0.25,542.0
Chord {B-flat in octave 5 | F-sharp in octave 3} Zero,B-5-interval class 4,0.0,542.5
Chord {B-flat in octave 5 | F-sharp in octave 3} Zero,B-5-interval class 4,0.0,543.5
Chord {F-sharp in octave 3 | B-flat in octave 5} Zero,B-5-interval class 4,0.0,544.5
Chord {F-sharp in octave 3 | B-flat in octave 5 | F in octave 3} 16th,B-5-incomplete major-seventh chord,0.25,545.5
Chord {F-sharp in octave 3 | F in octave 3} 16th,F#3-interval class 1,0.25,546.0
Chord {F in octave 3 | F-sharp in octave 3} 16th,F3-interval class 1,0.25,546.5
Chord {B-flat in octave 5 | F in octave 3 | F-sharp in octave 3} Zero,B-5-incomplete major-seventh chord,0.0,547.5
Chord {F in octave 3 | F-sharp in octave 3} Zero,F3-interval class 1,0.0,548.0
Chord {F-sharp in octave 3 | B-flat in octave 5} Zero,B-5-interval class 4,0.0,548.5
Chord {F-sharp in octave 3 | B-flat in octave 5 | F in octave 3} 16th,B-5-incomplete major-seventh chord,0.25,549.5
Chord {F-sharp in octave 3 | F in octave 3} 16th,F#3-interval class 1,0.25,550.0
Chord {F in octave 3 | F-sharp in octave 3} 16th,F3-interval class 1,0.25,550.5
Chord {B-flat in octave 5 | F-sharp in octave 3} Zero,B-5-interval class 4,0.0,551.5
Chord {F-sharp in octave 3 | B-flat in octave 5 | F in octave 3} 16th,B-5-incomplete major-seventh chord,0.25,553.5
Chord {F-sharp in octave 3 | B-flat in octave 5 | F in octave 3} 16th,B-5-incomplete major-seventh chord,0.25,555.5
Chord {F-sharp in octave 3 | B-flat in octave 5 | F in octave 3} 16th,B-5-incomplete major-seventh chord,0.25,557.5
Chord {F-sharp in octave 3 | B-flat in octave 5} 16th,B-5-interval class 4,0.25,559.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,34.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,38.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,46.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,50.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,54.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,62.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,66.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,70.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,82.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,86.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,98.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,102.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,114.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,118.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,130.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,134.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,142.5
Chord {F-sharp in octave 3 | B-flat in octave 5} Zero,B-5-interval class 4,0.0,144.5
Chord {C-sharp in octave 2 | D in octave 2} Quarter,D2-interval class 1,1.0,145.0
Chord {B-flat in octave 5 | F-sharp in octave 3} Zero,B-5-interval class 4,0.0,146.5
Chord {C-sharp in octave 2 | D in octave 2} Quarter,D2-interval class 1,1.0,147.0
Chord {F-sharp in octave 3 | B-flat in octave 5} 16th,B-5-interval class 4,0.25,446/3
Chord {C-sharp in octave 2 | D in octave 2} Quarter,D2-interval class 1,1.0,149.0
Chord {B-flat in octave 5 | F-sharp in octave 3} Zero,B-5-interval class 4,0.0,150.5
Chord {B in octave 1 | G in octave 3} Eighth,G3-interval class 4,0.5,150.5
Chord {C-sharp in octave 2 | D in octave 2} Quarter,D2-interval class 1,1.0,151.0
Chord {F-sharp in octave 3 | B-flat in octave 5} Zero,B-5-interval class 4,0.0,152.5
Chord {C-sharp in octave 2 | D in octave 2} Quarter,D2-interval class 1,1.0,153.0
Chord {B-flat in octave 5 | F-sharp in octave 3} Zero,B-5-interval class 4,0.0,154.5
Chord {C-sharp in octave 2 | D in octave 2} Quarter,D2-interval class 1,1.0,155.0
Chord {B-flat in octave 5 | F-sharp in octave 3} Zero,B-5-interval class 4,0.0,158.5
Chord {B in octave 1 | G in octave 3} Eighth,G3-interval class 4,0.5,158.5
Chord {C-sharp in octave 2 | D in octave 2} Quarter,D2-interval class 1,1.0,159.0
Chord {B-flat in octave 5 | F-sharp in octave 3} Zero,B-5-interval class 4,0.0,162.5
Chord {B-flat in octave 5 | F-sharp in octave 3} Zero,B-5-interval class 4,0.0,166.5
Chord {F-sharp in octave 3 | B-flat in octave 5} 16th,B-5-interval class 4,0.25,506/3
Chord {F-sharp in octave 3 | B-flat in octave 5} Zero,B-5-interval class 4,0.0,172.5
Chord {B-flat in octave 5 | F-sharp in octave 3} Zero,B-5-interval class 4,0.0,178.5
Chord {F-sharp in octave 3 | B-flat in octave 5} 16th,B-5-interval class 4,0.25,542/3
Chord {B-flat in octave 5 | F-sharp in octave 3} Zero,B-5-interval class 4,0.0,182.5
Chord {B in octave 1 | G in octave 3} Eighth,G3-interval class 4,0.5,182.5
Chord {B-flat in octave 5 | F-sharp in octave 3} Zero,B-5-interval class 4,0.0,186.5
Chord {F-sharp in octave 3 | B-flat in octave 5} Zero,B-5-interval class 4,0.0,188.5
Chord {B-flat in octave 5 | F-sharp in octave 3} Zero,B-5-interval class 4,0.0,190.5
Chord {B in octave 1 | G in octave 3} Eighth,G3-interval class 4,0.5,190.5
Chord {B-flat in octave 5 | F-sharp in octave 3} Zero,B-5-interval class 4,0.0,194.5
Chord {B-flat in octave 5 | F-sharp in octave 3} Zero,B-5-interval class 4,0.0,198.5
Chord {F-sharp in octave 3 | B-flat in octave 5} 16th,B-5-interval class 4,0.25,602/3
Chord {F-sharp in octave 3 | B-flat in octave 5} Zero,B-5-interval class 4,0.0,204.5
Chord {B in octave 1 | F in octave 2} Eighth,B1-tritone,0.5,207.0
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,210.5
Chord {B-flat in octave 5 | B in octave 1} Eighth,B-5-interval class 1,0.5,214.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,219.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,222.5
Chord {B-flat in octave 5 | B in octave 1} Eighth,B-5-interval class 1,0.5,226.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,230.5
Chord {B-flat in octave 5 | B in octave 1} Eighth,B-5-interval class 1,0.5,231.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,242.5
Chord {B-flat in octave 5 | B in octave 1} Eighth,B-5-interval class 1,0.5,246.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,251.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,258.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,262.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,271.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,274.5
Chord {B-flat in octave 5 | B in octave 1} Eighth,B-5-interval class 1,0.5,278.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,290.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,294.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,302.5
Chord {F-sharp in octave 3 | B-flat in octave 5} Zero,B-5-interval class 4,0.0,304.5
Chord {C-sharp in octave 2 | D in octave 2} Quarter,D2-interval class 1,1.0,305.0
Chord {D in octave 2 | C-sharp in octave 2} Quarter,D2-interval class 1,1.0,307.0
Chord {D in octave 2 | C-sharp in octave 2} Quarter,D2-interval class 1,1.0,309.0
Chord {B-flat in octave 5 | F-sharp in octave 3} Zero,B-5-interval class 4,0.0,310.5
Chord {G in octave 3 | B in octave 1} Eighth,G3-interval class 4,0.5,310.5
Chord {D in octave 2 | C-sharp in octave 2} Quarter,D2-interval class 1,1.0,311.0
Chord {C-sharp in octave 2 | D in octave 2} Quarter,D2-interval class 1,1.0,313.0
Chord {B-flat in octave 5 | F-sharp in octave 3} Zero,B-5-interval class 4,0.0,314.5
Chord {D in octave 2 | C-sharp in octave 2} Quarter,D2-interval class 1,1.0,315.0
Chord {C-sharp in octave 2 | D in octave 2} Quarter,D2-interval class 1,1.0,319.0
Chord {B-flat in octave 5 | F-sharp in octave 3} Zero,B-5-interval class 4,0.0,320.5
Chord {B-flat in octave 5 | F-sharp in octave 3} Zero,B-5-interval class 4,0.0,322.5
Chord {F-sharp in octave 3 | B-flat in octave 5} Zero,B-5-interval class 4,0.0,324.5
Chord {B-flat in octave 5 | F-sharp in octave 3} Zero,B-5-interval class 4,0.0,326.5
Chord {F-sharp in octave 3 | B-flat in octave 5} Zero,B-5-interval class 4,0.0,328.5
Chord {B-flat in octave 5 | F-sharp in octave 3} Zero,B-5-interval class 4,0.0,330.5
Chord {F-sharp in octave 3 | B-flat in octave 5} Zero,B-5-interval class 4,0.0,332.5
Chord {F-sharp in octave 3 | B-flat in octave 5} Zero,B-5-interval class 4,0.0,336.5
Chord {B-flat in octave 5 | F-sharp in octave 3} Zero,B-5-interval class 4,0.0,338.5
Chord {B in octave 1 | G in octave 3} Eighth,G3-interval class 4,0.5,342.5
Chord {F-sharp in octave 3 | B-flat in octave 5} Zero,B-5-interval class 4,0.0,344.5
Chord {F-sharp in octave 3 | B-flat in octave 5} Zero,B-5-interval class 4,0.0,348.5
Chord {B in octave 1 | G in octave 3} Eighth,G3-interval class 4,0.5,350.5
Chord {B-flat in octave 5 | F-sharp in octave 3} Zero,B-5-interval class 4,0.0,354.5
Chord {B-flat in octave 5 | F-sharp in octave 3} Zero,B-5-interval class 4,0.0,358.5
Chord {F-sharp in octave 3 | B-flat in octave 5} Zero,B-5-interval class 4,0.0,360.5
Chord {B-flat in octave 5 | F-sharp in octave 3} Zero,B-5-interval class 4,0.0,362.5
Chord {B in octave 1 | C-sharp in octave 3} Eighth,C#3-interval class 2,0.5,364.0
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,434.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,438.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,446.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,450.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,454.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,466.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,470.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,482.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,486.5
Chord {B-flat in octave 5 | B in octave 1} Eighth,B-5-interval class 1,0.5,494.5
Chord {F-sharp in octave 3 | B-flat in octave 5} Zero,B-5-interval class 4,0.0,496.5
Chord {C-sharp in octave 2 | D in octave 2} Quarter,D2-interval class 1,1.0,497.0
Chord {D in octave 2 | C-sharp in octave 2} Quarter,D2-interval class 1,1.0,499.0
Chord {D in octave 2 | C-sharp in octave 2} Quarter,D2-interval class 1,1.0,501.0
Chord {B-flat in octave 5 | F-sharp in octave 3} Zero,B-5-interval class 4,0.0,502.5
Chord {G in octave 3 | B in octave 1} Eighth,G3-interval class 4,0.5,502.5
Chord {D in octave 2 | C-sharp in octave 2} Quarter,D2-interval class 1,1.0,503.0
Chord {C-sharp in octave 2 | D in octave 2} Quarter,D2-interval class 1,1.0,505.0
Chord {B-flat in octave 5 | F-sharp in octave 3} Zero,B-5-interval class 4,0.0,506.5
Chord {D in octave 2 | C-sharp in octave 2} Quarter,D2-interval class 1,1.0,507.0
Chord {C-sharp in octave 2 | D in octave 2} Quarter,D2-interval class 1,1.0,511.0
Chord {B-flat in octave 5 | F-sharp in octave 3} Zero,B-5-interval class 4,0.0,512.5
Chord {B-flat in octave 5 | F-sharp in octave 3} Zero,B-5-interval class 4,0.0,514.5
Chord {F-sharp in octave 3 | B-flat in octave 5} Zero,B-5-interval class 4,0.0,516.5
Chord {B-flat in octave 5 | F-sharp in octave 3} Zero,B-5-interval class 4,0.0,518.5
Chord {F-sharp in octave 3 | B-flat in octave 5} Zero,B-5-interval class 4,0.0,520.5
Chord {B-flat in octave 5 | F-sharp in octave 3} Zero,B-5-interval class 4,0.0,522.5
Chord {F-sharp in octave 3 | B-flat in octave 5} Zero,B-5-interval class 4,0.0,524.5
Chord {F-sharp in octave 3 | B-flat in octave 5} Zero,B-5-interval class 4,0.0,528.5
Chord {B-flat in octave 5 | F-sharp in octave 3} Zero,B-5-interval class 4,0.0,530.5
Chord {B in octave 1 | G in octave 3} Eighth,G3-interval class 4,0.5,534.5
Chord {F-sharp in octave 3 | B-flat in octave 5} Zero,B-5-interval class 4,0.0,536.5
Chord {F-sharp in octave 3 | B-flat in octave 5} Zero,B-5-interval class 4,0.0,540.5
Chord {B in octave 1 | G in octave 3} Eighth,G3-interval class 4,0.5,542.5
Chord {B-flat in octave 5 | F-sharp in octave 3} Zero,B-5-interval class 4,0.0,546.5
Chord {B-flat in octave 5 | F-sharp in octave 3} Zero,B-5-interval class 4,0.0,550.5
Chord {F-sharp in octave 3 | B-flat in octave 5} Zero,B-5-interval class 4,0.0,552.5
Chord {B-flat in octave 5 | F-sharp in octave 3} Zero,B-5-interval class 4,0.0,554.5
Chord {B-flat in octave 5 | F-sharp in octave 3} Zero,B-5-interval class 4,0.0,556.5
Chord {B-flat in octave 5 | F-sharp in octave 3} Zero,B-5-interval class 4,0.0,558.5
Chord {B in octave 1 | F in octave 2} Eighth,B1-tritone,0.5,559.0
Chord {B in octave 1 | C-sharp in octave 3} Eighth,C#3-interval class 2,0.5,151.5
Chord {F-sharp in octave 3 | B-flat in octave 5} Zero,B-5-interval class 4,0.0,156.5
Chord {B in octave 1 | C-sharp in octave 3} Eighth,C#3-interval class 2,0.5,159.5
Chord {F-sharp in octave 3 | B-flat in octave 5} 16th,B-5-interval class 4,0.25,482/3
Chord {F-sharp in octave 3 | B-flat in octave 5} 16th,B-5-interval class 4,0.25,488/3
Chord {F-sharp in octave 3 | B-flat in octave 5} 16th,B-5-interval class 4,0.25,494/3
Chord {F-sharp in octave 3 | B-flat in octave 5} 16th,B-5-interval class 4,0.25,500/3
Chord {F-sharp in octave 3 | B-flat in octave 5} 16th,B-5-interval class 4,0.25,512/3
Chord {F-sharp in octave 3 | B-flat in octave 5} 16th,B-5-interval class 4,0.25,518/3
Chord {B in octave 1 | D in octave 3} Eighth,B1-interval class 3,0.5,174.0
Chord {F-sharp in octave 3 | B-flat in octave 5} 16th,B-5-interval class 4,0.25,530/3
Chord {F-sharp in octave 3 | B-flat in octave 5} 16th,B-5-interval class 4,0.25,536/3
Chord {F-sharp in octave 3 | B-flat in octave 5} 16th,B-5-interval class 4,0.25,548/3
Chord {B in octave 1 | C-sharp in octave 3} Eighth,C#3-interval class 2,0.5,183.5
Chord {F-sharp in octave 3 | B-flat in octave 5} 16th,B-5-interval class 4,0.25,554/3
Chord {F-sharp in octave 3 | B-flat in octave 5} 16th,B-5-interval class 4,0.25,560/3
Chord {F-sharp in octave 3 | B-flat in octave 5} 16th,B-5-interval class 4,0.25,566/3
