4/4
Chord {F in octave 4 | B-flat in octave 4} Quarter Triplet (2/3 QL),B-4-interval class 5,2/3,11.0
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,456.0
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,456.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,457.0
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,457.5
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,457.75
Chord {E-flat in octave 2 | C-sharp in octave 2} Eighth Triplet (1/3 QL),C#2-interval class 2,1/3,458.25
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,458.25
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,458.5
Chord {D in octave 2 | E in octave 2 | E-flat in octave 2 | D in octave 4 | F-sharp in octave 3} 16th,D2-major-second tetracluster,0.25,458.75
Chord {E in octave 2 | D in octave 2 | F-sharp in octave 2 | F-sharp in octave 3} 16th,D2-whole-tone trichord,0.25,459.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,459.25
Chord {E in octave 2 | D in octave 2 | C in octave 2} Eighth Triplet (1/3 QL),C2-whole-tone trichord,1/3,459.5
Chord {E-flat in octave 2 | F-sharp in octave 2 | D in octave 4 | F-sharp in octave 3} 16th,D4-major-minor trichord,0.25,459.5
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,460.0
Chord {E in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 2,0.0,462.25
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,463.0
Chord {D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,463.25
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,464.0
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,465.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,465.25
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,465.75
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,466.5
Chord {E-flat in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 3,0.0,466.75
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,467.0
Chord {E in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 2,0.0,467.75
Chord {F-sharp in octave 2 | C in octave 2} 16th,F#2-tritone,0.25,468.0
Chord {E-flat in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 3,0.0,468.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,469.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,469.25
Chord {D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,470.25
Chord {F-sharp in octave 2 | D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,471.0
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,472.0
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,472.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,473.0
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,473.5
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,473.75
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,474.25
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,474.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,475.0
Chord {C-sharp in octave 2 | G in octave 2} Eighth,C#2-tritone,0.5,475.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,475.25
Chord {F-sharp in octave 2 | D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,475.5
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,476.0
Chord {E in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 2,0.0,478.25
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,479.0
Chord {D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,479.25
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,480.0
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,481.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,481.25
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,481.75
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,482.5
Chord {E-flat in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 3,0.0,482.75
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,483.0
Chord {E in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 2,0.0,483.75
Chord {F-sharp in octave 2 | C in octave 2} 16th,F#2-tritone,0.25,484.0
Chord {E-flat in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 3,0.0,484.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,485.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,485.25
Chord {D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,486.25
Chord {F-sharp in octave 2 | D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,487.0
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,488.0
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,488.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,489.0
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,489.5
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,489.75
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,490.25
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,490.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,491.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,491.25
Chord {F-sharp in octave 2 | D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,491.5
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,492.0
Chord {E in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 2,0.0,494.25
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,495.0
Chord {D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,495.25
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,496.0
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,497.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,497.25
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,497.75
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,498.5
Chord {E-flat in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 3,0.0,498.75
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,499.0
Chord {E in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 2,0.0,499.75
Chord {F-sharp in octave 2 | C in octave 2} 16th,F#2-tritone,0.25,500.0
Chord {E-flat in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 3,0.0,500.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,501.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,501.25
Chord {D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,502.25
Chord {F-sharp in octave 2 | D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,503.0
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,504.0
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,504.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,505.0
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,505.5
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,505.75
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,506.25
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,506.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,507.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,507.25
Chord {F-sharp in octave 2 | D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,507.5
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,508.0
Chord {E in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 2,0.0,510.25
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,511.0
Chord {D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,511.25
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,512.0
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,513.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,513.25
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,513.75
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,514.5
Chord {E-flat in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 3,0.0,514.75
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,515.0
Chord {E in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 2,0.0,515.75
Chord {F-sharp in octave 2 | C in octave 2} 16th,F#2-tritone,0.25,516.0
Chord {E-flat in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 3,0.0,516.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,517.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,517.25
Chord {D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,518.25
Chord {F-sharp in octave 2 | D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,519.0
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,520.0
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,520.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,521.0
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,521.5
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,521.75
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,522.25
Chord {D in octave 4 | G in octave 2 | F-sharp in octave 3} Zero,G2-incomplete major-seventh chord,0.0,522.5
Chord {B in octave 2 | D in octave 4 | G in octave 2} 16th,G2-major triad,0.25,522.75
Chord {A in octave 2 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,523.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,523.25
Chord {G in octave 2 | C in octave 2 | F in octave 2} 16th,F2-quartal trichord,0.25,523.5
Chord {F-sharp in octave 2 | D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,523.5
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,524.0
Chord {E in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 2,0.0,526.25
Chord {E-flat in octave 2 | C-sharp in octave 2} Eighth,C#2-interval class 2,0.5,527.0
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,527.0
Chord {D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,527.25
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,528.0
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,529.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,529.25
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,529.75
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,530.5
Chord {E-flat in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 3,0.0,530.75
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,531.0
Chord {E in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 2,0.0,531.75
Chord {F-sharp in octave 2 | C in octave 2} 16th,F#2-tritone,0.25,532.0
Chord {E-flat in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 3,0.0,532.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,533.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,533.25
Chord {D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,534.25
Chord {E-flat in octave 2 | C-sharp in octave 2} Eighth,C#2-interval class 2,0.5,535.0
Chord {F-sharp in octave 2 | D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,535.0
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,536.0
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,536.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,537.0
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,537.5
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,537.75
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,538.25
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,538.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,539.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,539.25
Chord {F-sharp in octave 2 | D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,539.5
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,540.0
Chord {E in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 2,0.0,542.25
Chord {E-flat in octave 2 | C-sharp in octave 2} Eighth,C#2-interval class 2,0.5,543.0
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,543.0
Chord {D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,543.25
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,544.0
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,545.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,545.25
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,545.75
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,546.5
Chord {E-flat in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 3,0.0,546.75
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,547.0
Chord {E in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 2,0.0,547.75
Chord {F-sharp in octave 2 | C in octave 2} 16th,F#2-tritone,0.25,548.0
Chord {E-flat in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 3,0.0,548.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,549.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,549.25
Chord {D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,550.25
Chord {E-flat in octave 2 | C-sharp in octave 2} Eighth,C#2-interval class 2,0.5,551.0
Chord {F-sharp in octave 2 | D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,551.0
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,552.0
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,552.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,553.0
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,553.5
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,553.75
Chord {E-flat in octave 2 | B in octave 2} 16th,E-2-interval class 4,0.25,554.25
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,554.25
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,554.5
Chord {E-flat in octave 2 | B in octave 2 | D in octave 4 | F-sharp in octave 3} 16th,B2-major-minor tetramirror,0.25,554.75
Chord {E-flat in octave 2 | B in octave 2 | F-sharp in octave 2 | F-sharp in octave 3} 16th,E-2-major triad,0.25,555.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,555.25
Chord {E-flat in octave 2 | B in octave 2 | F-sharp in octave 2 | D in octave 4 | F-sharp in octave 3} 16th,B2-major-minor tetramirror,0.25,555.5
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,556.0
Chord {C in octave 2 | E in octave 3} Eighth,C2-interval class 4,0.5,556.5
Chord {E in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 2,0.0,558.25
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,559.0
Chord {D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,559.25
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,560.0
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,561.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,561.25
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,561.75
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,562.5
Chord {E-flat in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 3,0.0,562.75
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,563.0
Chord {E in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 2,0.0,563.75
Chord {F-sharp in octave 2 | C in octave 2} 16th,F#2-tritone,0.25,564.0
Chord {E-flat in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 3,0.0,564.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,565.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,565.25
Chord {D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,566.25
Chord {F-sharp in octave 2 | D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,567.0
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,568.0
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,568.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,569.0
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,569.5
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,569.75
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,570.25
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,570.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,571.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,571.25
Chord {F-sharp in octave 2 | D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,571.5
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,572.0
Chord {E in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 2,0.0,574.25
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,575.0
Chord {D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,575.25
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,576.0
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,577.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,577.25
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,577.75
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,578.5
Chord {E-flat in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 3,0.0,578.75
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,579.0
Chord {E in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 2,0.0,579.75
Chord {F-sharp in octave 2 | C in octave 2} 16th,F#2-tritone,0.25,580.0
Chord {E-flat in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 3,0.0,580.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,581.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,581.25
Chord {D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,582.25
Chord {F-sharp in octave 2 | D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,583.0
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,584.0
Chord {G-sharp in octave 2 | E in octave 3} Eighth,E3-interval class 4,0.5,584.5
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,584.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,585.0
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,585.5
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,585.75
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,586.25
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,586.5
Chord {F-sharp in octave 2 | F-sharp in octave 4 | F-sharp in octave 3} 16th,F#2-unison,0.25,587.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,587.25
Chord {F-sharp in octave 2 | D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,587.5
Chord {D in octave 2 | G-sharp in octave 2} Eighth,G#2-tritone,0.5,590.75
Chord {E in octave 3 | D in octave 2 | G-sharp in octave 2} Half Tuplet of 6/5ths (1 2/3 QL),E3-incomplete dominant-seventh chord,5/3,591.75
Chord {D in octave 2 | G in octave 2} Dotted Eighth,G2-interval class 5,0.75,594.25
