4/4
Chord {A in octave 3 | D in octave 4 | B in octave 3} Quarter Triplet (2/3 QL),B3-incomplete minor-seventh chord,2/3,76/3
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,247.5
Chord {E-flat in octave 5 | E-flat in octave 6} Quarter Triplet (2/3 QL),E-5-unison,2/3,248.5
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,249.5
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,250.5
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,251.5
Chord {G-sharp in octave 4 | G-sharp in octave 5} Eighth,G#4-unison,0.5,252.5
Chord {C in octave 5 | A in octave 4 | E in octave 4} Quarter,A4-minor triad,1.0,253.0
Chord {C in octave 5 | A in octave 4 | E in octave 4} Zero,A4-minor triad,0.0,254.0
Chord {C in octave 5 | E-flat in octave 2 | C in octave 6} Eighth,C5-interval class 3,0.5,254.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,258.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,259.0
Chord {F in octave 4 | C-sharp in octave 4 | B-flat in octave 3 | G-sharp in octave 4 | E-flat in octave 3} Half tied to Dotted Eighth (2 3/4 total QL),C#4-major pentatonic,2.75,260.0
Chord {F in octave 2 | E in octave 2 | G in octave 2 | B in octave 2 | C-sharp in octave 3 | E-flat in octave 3 | E in octave 3 | G in octave 3 | A in octave 3 | A in octave 5} Zero,F2-Neapolitan-major mode,0.0,263.0
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,263.5
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,264.5
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,265.5
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,266.5
Chord {E-flat in octave 2 | F in octave 4 | C-sharp in octave 4 | B-flat in octave 3 | G-sharp in octave 4 | E-flat in octave 3} 16th,C#4-major pentatonic,0.25,267.5
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,268.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,270.0
Chord {F in octave 2 | E in octave 4} 16th,F2-interval class 1,0.25,860/3
Chord {A in octave 4 | D in octave 4} Zero,D4-interval class 5,0.0,73.25
Chord {A in octave 4 | E-flat in octave 4} Zero,A4-tritone,0.0,73.5
Chord {A in octave 4 | E in octave 4} Zero,A4-interval class 5,0.0,73.75
Chord {A in octave 4 | E in octave 4} Zero,A4-interval class 5,0.0,82.0
Chord {A in octave 4 | E-flat in octave 4} Zero,A4-tritone,0.0,82.25
Chord {A in octave 4 | D in octave 4} Zero,D4-interval class 5,0.0,82.5
Chord {A in octave 4 | E in octave 4} Zero,A4-interval class 5,0.0,82.75
Chord {A in octave 4 | E in octave 4} Zero,A4-interval class 5,0.0,83.0
Chord {A in octave 4 | D in octave 4} Zero,D4-interval class 5,0.0,83.25
Chord {A in octave 4 | E-flat in octave 4} Zero,A4-tritone,0.0,83.5
Chord {D in octave 2 | B in octave 3 | F-sharp in octave 3} Half,B3-minor triad,2.0,90.0
Chord {A in octave 5 | A in octave 4 | E in octave 4} Zero,A5-interval class 5,0.0,98.0
Chord {A in octave 4 | E-flat in octave 4} Zero,A4-tritone,0.0,98.25
Chord {G-sharp in octave 5 | A in octave 4 | D in octave 4} Zero,G#5-tritone-fourth,0.0,98.5
Chord {G-sharp in octave 5 | A in octave 4 | E in octave 4} Zero,A4-incomplete major-seventh chord,0.0,98.75
Chord {G in octave 1 | B in octave 3 | D in octave 3 | A in octave 3 | F-sharp in octave 3} Eighth,G1-major-ninth chord,0.5,107.0
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,107.5
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,108.5
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,109.5
Chord {G in octave 4 | B in octave 3} Quarter Triplet (2/3 QL),G4-interval class 4,2/3,334/3
Chord {A in octave 3 | A in octave 5} Zero,A3-unison,0.0,113.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,113.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,114.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,115.0
Chord {A in octave 3 | A in octave 5} Zero,A3-unison,0.0,116.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,116.0
Chord {A in octave 4 | A in octave 4} Eighth,A4-unison,0.5,117.5
Chord {G in octave 2 | G in octave 4} Eighth,G2-unison,0.5,118.0
Chord {F-sharp in octave 2 | F-sharp in octave 4} Eighth,F#2-unison,0.5,118.5
Chord {E in octave 2 | E in octave 4} Eighth,E2-unison,0.5,119.0
Chord {C in octave 2 | E in octave 4 | B in octave 3 | E in octave 3 | G in octave 2 | C in octave 2} 16th,C2-major seventh chord,0.25,120.5
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,121.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,122.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,123.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,129.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,130.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,131.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,132.0
Chord {A in octave 4 | G in octave 4} Half,A4-interval class 2,2.0,134.0
Chord {C in octave 5 | C in octave 6 | E in octave 5 | G in octave 5 | A in octave 4} Whole,A4-minor seventh chord,4.0,140.0
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,163.5
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,165.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,166.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,167.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,168.0
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,169.5
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,170.5
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,175.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,176.0
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,178.5
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,182.0
Chord {G in octave 4 | G-sharp in octave 2 | B-flat in octave 3} Half,G4-phrygian trichord,2.0,196.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,198.0
Chord {G-sharp in octave 3 | C-sharp in octave 4} Whole,C#4-interval class 5,4.0,199.0
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,239.25
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,240.25
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,241.25
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,242.5
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,243.5
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,244.5
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,245.5
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,246.5
Chord {C-sharp in octave 3 | E in octave 3 | A in octave 3 | A in octave 5} Zero,A3-major triad,0.0,248.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,248.0
Chord {C in octave 6 | C in octave 5} Double Dotted Half,C6-unison,3.5,249.0
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,252.5
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,253.5
Chord {E-flat in octave 6 | E-flat in octave 5} Whole tied to Dotted Quarter (5 1/2 total QL),E-6-unison,5.5,254.5
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,260.5
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,261.5
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,262.5
Chord {B-flat in octave 5 | E-flat in octave 5 | C in octave 5} Quarter,C5-incomplete minor-seventh chord,1.0,264.0
Chord {E-flat in octave 5 | B-flat in octave 4 | G-sharp in octave 5} Quarter,E-5-quartal trichord,1.0,265.0
Chord {B-flat in octave 3 | B-flat in octave 4} Dotted Eighth,B-3-unison,0.75,266.0
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,267.5
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,268.5
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,269.5
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,270.5
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,271.5
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,272.5
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,273.5
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,274.5
Chord {G-sharp in octave 3 | F in octave 3} Zero,G#3-interval class 3,0.0,294.75
Chord {E in octave 2 | F in octave 3} 16th,F3-interval class 1,0.25,294.75
Chord {A in octave 4 | E in octave 4} Zero,A4-interval class 5,0.0,90.0
Chord {A in octave 4 | E in octave 4} Zero,A4-interval class 5,0.0,91.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,100.75
Chord {D in octave 4 | B in octave 3 | F-sharp in octave 4 | D in octave 4} Half,B3-minor triad,2.0,105.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,107.0
Chord {C in octave 4 | C in octave 4 | A in octave 3 | D in octave 4} Whole,D4-incomplete dominant-seventh chord,4.0,108.0
Chord {G-sharp in octave 5 | E in octave 4} Zero,E4-interval class 4,0.0,115.75
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,116.5
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,117.5
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,118.5
Chord {D in octave 2 | D in octave 4} Eighth,D2-unison,0.5,119.5
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,120.5
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,121.5
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,122.5
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,123.5
Chord {D in octave 2 | E in octave 4 | D in octave 2 | G in octave 3 | C in octave 4} 16th,C4-major-second major tetrachord,0.25,124.5
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,126.5
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,127.5
Chord {A in octave 3 | A in octave 5} Zero,A3-unison,0.0,132.0
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,132.5
Chord {E in octave 4 | G in octave 4 | C in octave 4} Eighth,C4-major triad,0.5,133.5
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,136.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,137.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,138.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,139.0
Chord {D in octave 4 | G in octave 5 | A in octave 4} Whole,G5-quartal trichord,4.0,140.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,163.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,164.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,165.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,172.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,173.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,180.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,181.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,196.0
Chord {F in octave 4 | C-sharp in octave 4 | E-flat in octave 2 | B-flat in octave 3} Whole,C#4-perfect-fourth minor tetrachord,4.0,199.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,204.0
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,239.5
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,240.5
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,241.5
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,242.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,243.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,244.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,245.75
Chord {F in octave 2 | G in octave 2 | E in octave 3 | C-sharp in octave 3 | A in octave 5} Zero,F2-augmented-diminished ninth chord,0.0,253.0
Chord {G-sharp in octave 5 | E-flat in octave 5 | B-flat in octave 4} Quarter,E-5-quartal trichord,1.0,253.0
Chord {F in octave 2 | G in octave 2 | E in octave 3 | C-sharp in octave 3 | A in octave 5} Zero,F2-augmented-diminished ninth chord,0.0,254.0
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,254.5
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,257.0
Chord {E in octave 3 | G in octave 3 | A in octave 3 | A in octave 5} Zero,A3-incomplete dominant-seventh chord,0.0,258.0
Chord {E in octave 3 | G in octave 3 | A in octave 3 | A in octave 5} Zero,A3-incomplete dominant-seventh chord,0.0,259.0
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,259.5
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,261.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,262.0
Chord {G in octave 5 | E-flat in octave 5 | C in octave 5} Quarter,C5-minor triad,1.0,264.0
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,265.25
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,266.25
Chord {F in octave 4 | C-sharp in octave 4 | B-flat in octave 3 | G-sharp in octave 4 | E-flat in octave 3} Dotted Half,C#4-major pentatonic,3.0,268.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,272.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,273.0
Chord {A in octave 4 | E-flat in octave 4} Zero,A4-tritone,0.0,90.25
Chord {A in octave 4 | D in octave 4} Zero,D4-interval class 5,0.0,90.5
Chord {A in octave 4 | E in octave 4} Zero,A4-interval class 5,0.0,90.75
Chord {A in octave 4 | E in octave 4} Zero,A4-interval class 5,0.0,91.0
Chord {A in octave 4 | D in octave 4} Zero,D4-interval class 5,0.0,91.25
Chord {A in octave 4 | E-flat in octave 4} Zero,A4-tritone,0.0,91.5
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,105.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,106.0
Chord {G in octave 3 | B in octave 3 | F-sharp in octave 4} Dotted Eighth,G3-incomplete major-seventh chord,0.75,107.0
Chord {F-sharp in octave 3 | A in octave 3} Dotted Half,F#3-interval class 3,3.0,113.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,117.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,118.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,119.0
Chord {A in octave 3 | G-sharp in octave 5} Zero,A3-interval class 1,0.0,120.5
Chord {A in octave 3 | A in octave 5} Zero,A3-unison,0.0,121.0
Chord {B in octave 3 | E in octave 3 | G in octave 2 | C in octave 2} Quarter,C2-major seventh chord,1.0,121.0
Chord {A in octave 3 | A in octave 5} Zero,A3-unison,0.0,122.0
Chord {A in octave 3 | G-sharp in octave 5} Zero,A3-interval class 1,0.0,122.5
Chord {E in octave 4 | B in octave 3 | G in octave 2 | C in octave 2} Quarter,C2-major seventh chord,1.0,122.5
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,124.5
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,125.5
Chord {G in octave 4 | G in octave 4 | A in octave 1} Quarter Triplet (2/3 QL),A1-interval class 2,2/3,380/3
Chord {D in octave 1 | C in octave 4} Quarter Triplet (2/3 QL),D1-interval class 2,2/3,382/3
Chord {G in octave 5 | A in octave 4 | G in octave 4 | B in octave 4} Quarter,G5-whole-tone trichord,1.0,130.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,133.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,134.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,135.0
Chord {A in octave 3 | A in octave 5} Zero,A3-unison,0.0,136.0
Chord {G-sharp in octave 5 | A in octave 4} Zero,A4-interval class 1,0.0,164.75
Chord {C in octave 4 | E-flat in octave 4} Half,C4-interval class 3,2.0,196.0
Chord {C-sharp in octave 4 | B-flat in octave 3 | G-sharp in octave 3 | F in octave 4 | E-flat in octave 4} Quarter,C#4-major pentatonic,1.0,199.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,200.0
Chord {C-sharp in octave 4 | F in octave 4 | C in octave 4 | G-sharp in octave 4 | F in octave 4} 16th,F4-major seventh chord,0.25,201.25
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,202.25
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,205.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,206.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,239.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,240.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,241.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,243.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,245.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,247.0
Chord {E-flat in octave 5 | F in octave 4} Quarter,F4-interval class 2,1.0,248.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,249.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,250.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,256.0
Chord {E in octave 3 | G in octave 3 | A in octave 3 | A in octave 5} Zero,A3-incomplete dominant-seventh chord,0.0,257.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,269.0
Chord {C-sharp in octave 5 | C-sharp in octave 4 | C-sharp in octave 6} Quarter Triplet (2/3 QL),C#5-unison,2/3,811/3
Chord {B-flat in octave 4 | B-flat in octave 5} Eighth,B-4-unison,0.5,272.5
Chord {E-flat in octave 5 | C in octave 5 | B-flat in octave 4} Quarter,C5-incomplete minor-seventh chord,1.0,273.0
Chord {E in octave 3 | C in octave 4} 16th,C4-interval class 4,0.25,275.0
Chord {F-sharp in octave 4 | D in octave 4} Eighth,D4-interval class 4,0.5,105.0
Chord {F-sharp in octave 3 | A in octave 3} Eighth,F#3-interval class 3,0.5,106.0
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,113.5
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,114.5
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,115.5
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,119.5
Chord {G in octave 4 | A in octave 1} Quarter Triplet (2/3 QL),A1-interval class 2,2/3,380/3
Chord {D in octave 4 | A in octave 4 | F-sharp in octave 5} Eighth,D4-major triad,0.5,138.0
Chord {A in octave 5 | B in octave 4} Eighth,B4-interval class 2,0.5,139.0
Chord {B in octave 4 | A in octave 5 | F-sharp in octave 5} Eighth,B4-incomplete dominant-seventh chord,0.5,139.5
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,200.25
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,201.25
Chord {G-sharp in octave 4 | F in octave 4 | C-sharp in octave 4 | C in octave 5 | G-sharp in octave 4 | G-sharp in octave 5 | G-sharp in octave 4} 16th,F4-major seventh chord,0.25,607/3
Chord {B-flat in octave 4 | B-flat in octave 5} Half Triplet (1 1/3 QL),B-4-unison,4/3,247.0
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,248.5
Chord {C-sharp in octave 3 | A in octave 5} Zero,A5-interval class 4,0.0,250.0
Chord {C in octave 5 | G-sharp in octave 4} Quarter,C5-interval class 4,1.0,250.0
Chord {F in octave 2 | G in octave 2 | E in octave 3 | C-sharp in octave 3 | G-sharp in octave 5} Zero,C#3-major-minor diminished pentachord,0.0,254.5
Chord {E in octave 3 | G in octave 3 | A in octave 3 | A in octave 5} Zero,A3-incomplete dominant-seventh chord,0.0,256.0
Chord {G-sharp in octave 5 | E-flat in octave 5} Dotted Half,E-5-interval class 5,3.0,256.0
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,264.25
Chord {G-sharp in octave 5 | G-sharp in octave 4 | G-sharp in octave 6} Quarter Triplet (2/3 QL),G#5-unison,2/3,809/3
Chord {A in octave 3 | G-sharp in octave 5} Zero,A3-interval class 1,0.0,124.5
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,125.0
Chord {F-sharp in octave 4 | F-sharp in octave 4 | F-sharp in octave 4} Eighth,F#4-unison,0.5,406/3
Chord {B in octave 4 | A in octave 3} Eighth,B4-interval class 2,0.5,138.0
Chord {G in octave 4 | C in octave 4 | B-flat in octave 3 | G in octave 4 | C in octave 4} Quarter Triplet (2/3 QL),C4-incomplete dominant-seventh chord,2/3,619/3
Chord {E in octave 3 | G in octave 3 | A in octave 3} Zero,A3-incomplete dominant-seventh chord,0.0,776/3
Chord {E-flat in octave 4 | G in octave 4 | C in octave 4} Half,C4-minor triad,2.0,272.0
Chord {A in octave 3 | A in octave 5} Zero,A3-unison,0.0,125.0
Chord {G in octave 5 | E-flat in octave 5} Quarter,E-5-interval class 4,1.0,272.0
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,110.5
